Vehicle_ID,Manufacturer,Model,Year,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Autonomous_Level,Safety_Rating,Units_Sold_2024,Warranty_Years
1,acura,zdx with gm ultium,2015,lithiumtitanate,55.8,214,chademo,9.0,11120394,matte white,UK,0.0,5.0,19726,3
2,lamborghini,revuelto phev,2025,lithiumtitanate,90.8,212,vehicletohome v2h,7.3,12713165,white,NETHERLANDS,2.0,4.0,3349,3
3,nio,et7,2020,calciumion,64.7,235,level 2 charging,8.9,9434737,beige,UK,5.0,5.0,6300,5
4,audi,etron,2025,lithiumiron phosphate,120.5,140,ultrafast charging 350 kw,10.5,7561515,sunset orange,ARGENTINA,2.0,5.0,2339,5
5,acura,zdx with gm ultium,2023,lithiumtitanate,51.8,336,plugin hydrogen refueling,3.6,14104694,ice silver,UNITED ARAB EMIRATES,2.0,3.0,1051,4
6,xpeng,g9,2016,lithiumiron phosphate,138.7,390,mobile charging,2.9,8990775,ruby red,AUSTRALIA,3.5,5.0,8609,5
7,jeep,recon upcoming,2024,nickelcobaltaluminum,67.1,170,vehicletoload v2l,1.5,3565397,orange,SWEDEN,5.0,4.0,12504,5
8,changan,q05,2019,leadacid,131.9,105,ccs,8.3,9443644,bronze,MEXICO,3.0,5.0,8630,5
9,citroen,ëc4,2023,aluminumion,33.8,420,solar charging,10.2,9091955,metallic silver,SWEDEN,1.0,5.0,18,5
10,rimac,nevera,2015,solidstate,140.8,549,solar charging,3.3,5890459,matte green,UK,2.0,4.0,17455,3
11,volkswagen,idbuzz,2022,leadacid,41.5,370,vehicletogrid v2g,11.6,14146962,stealth gray,DENMARK,3.0,4.0,16959,4
12,jaguar,ipace,2018,solidstate,64.0,401,ultrafast charging 350 kw,7.3,308629,cosmic purple,SOUTH KOREA,0.0,4.0,7798,4
13,mini,mini cooper se,2018,leadacid,37.2,578,vehicletoload v2l,3.3,8675675,tan,DENMARK,0.5,4.0,15303,5
14,bmw,ix3,2025,flow batteries,32.8,306,mobile charging,9.7,4311228,metallic silver,DENMARK,1.0,3.0,2470,4
15,faraday future,ff 91,2015,flow batteries,149.9,528,level 1 charging,11.6,14116404,rose gold,BELGIUM,3.0,3.0,5394,4
16,tesla,model y,2019,aluminumion,121.9,332,solar charging,5.4,14487812,burgundy,UNITED ARAB EMIRATES,3.0,3.0,18978,5
17,maserati,grecale folgore,2020,lithiumion,26.5,344,nacs,1.2,9093942,rose gold,NORWAY,3.0,4.0,3928,5
18,polestar,polestar 2,2024,solidstate,74.5,398,mobile charging,11.2,545111,cosmic purple,HUNGARY,3.0,4.0,10360,3
19,tesla,model y,2024,zincair,149.5,137,inductive wireless charging,6.3,4589479,teal,CHINA,2.0,5.0,9912,5
20,faraday future,ff 91,2025,calciumion,92.1,577,ccs,11.3,4611493,orange,FRANCE,1.0,5.0,11235,3
21,skoda,elroq upcoming,2019,leadacid,83.5,563,level 2 charging,1.6,8082909,bronze,JAPAN,1.0,4.0,5294,5
22,geely,emgrand ev,2021,leadacid,21.3,138,chademo,6.8,1301514,matte blue,UNITED ARAB EMIRATES,1.0,3.0,11724,3
23,skoda,enyaq,2025,solidstate,66.0,386,vehicletogrid v2g,11.7,11993731,forest green,NETHERLANDS,1.0,4.0,10885,4
24,faraday future,ff 91,2019,nickelmetal hydride,122.4,155,plugin hydrogen refueling,10.5,13303119,crimson red,DENMARK,3.0,3.0,7304,3
25,mini,mini electric,2021,sodiumion,56.2,135,battery swapping,4.5,9112868,sky blue,SAUDI ARABIA,0.0,3.0,19024,4
26,chevrolet,bolt ev,2024,nickelcobaltaluminum,64.9,502,mobile charging,5.5,1481083,orange,INDIA,1.0,3.0,17036,5
27,skoda,elroq upcoming,2025,lithiumiron phosphate,67.3,135,mobile charging,7.7,1096065,orange,POLAND,5.0,4.0,18166,3
28,lucid motors,lucid gravity,2025,nickelcobaltaluminum,108.1,562,nacs,7.6,6611398,matte gray,USA,1.0,5.0,10559,4
29,geely,geometry c,2025,lithiumiron phosphate,86.5,506,nacs,8.1,6405437,lime green,FINLAND,1.0,3.0,4828,3
30,chevrolet,bolt euv,2022,zincair,130.5,137,vehicletohome v2h,5.3,10557185,metallic silver,INDIA,1.0,3.0,13931,3
31,porsche,cayenne electric upcoming,2015,leadacid,52.4,534,ccs,5.7,12616999,lime green,SOUTH AFRICA,4.0,4.0,16540,4
32,lamborghini,lanzador upcoming ev,2017,lithiumtitanate,132.0,330,battery swapping,9.1,13078355,bronze,SOUTH AFRICA,1.0,4.0,9362,3
33,toyota,lexus rz,2020,aluminumion,90.2,170,chademo,3.2,11327398,cosmic purple,SWITZERLAND,2.0,4.0,2040,3
34,li auto,mega,2024,lithiumtitanate,22.5,550,plugin hydrogen refueling,6.0,1431290,magenta,INDIA,3.0,5.0,7226,4
35,volvo,ex30,2021,nickelmanganesecobalt,23.8,272,plugin hydrogen refueling,8.8,13086068,gray,FINLAND,3.0,3.0,14044,3
36,changan,sl03,2015,lithiumsulfur,69.3,208,vehicletohome v2h,4.3,12134756,beige,PORTUGAL,3.0,4.0,635,5
37,maserati,grecale folgore,2020,lithiumiron phosphate,104.5,499,level 2 charging,9.2,14395341,metallic silver,GERMANY,1.0,5.0,7142,4
38,seat,avenger,2020,nickelmetal hydride,98.8,593,ccs,9.4,496519,magenta,FRANCE,2.0,4.0,12997,5
39,lucid motors,lucid air,2024,lithiumtitanate,128.0,224,ccs,8.5,6618992,sky blue,IRELAND,4.0,4.0,12142,3
40,mg,mg5 ev,2015,calciumion,74.6,350,ccs,5.5,7346256,titanium,AUSTRALIA,3.0,5.0,8850,5
41,faraday future,ff 91,2022,nickelcobaltaluminum,127.3,403,battery swapping,4.2,5945942,green,PORTUGAL,1.0,5.0,12418,4
42,nissan,ariya,2020,nickelmetal hydride,83.4,281,battery swapping,4.4,1356384,ice silver,PORTUGAL,4.0,4.0,13317,4
43,lamborghini,revuelto phev,2022,flow batteries,112.5,329,level 1 charging,1.6,5659157,ice silver,BELGIUM,4.0,4.0,13942,5
44,lamborghini,lanzador upcoming ev,2020,lithiumtitanate,79.0,256,battery swapping,3.2,11655412,purple,CANADA,5.0,4.0,9060,5
45,jeep,wagoneer s,2016,calciumion,45.2,216,overhead pantograph charging,2.6,316978,matte white,ITALY,0.0,3.0,16085,3
46,tesla,cybertruck,2019,nickelmanganesecobalt,82.2,274,nacs,11.6,6029741,aurora blue,CANADA,3.0,5.0,1756,3
47,ford,etransit,2016,lithiumiron phosphate,35.4,491,vehicletogrid v2g,7.5,1248889,crimson red,SOUTH AFRICA,3.0,4.0,10006,5
48,gmc,hummer ev pickup,2024,lithiumtitanate,32.9,490,inductive wireless charging,7.7,6175754,green,NETHERLANDS,4.0,4.0,14762,5
49,cadillac,celestiq,2019,lithiumion,50.1,461,solar charging,8.6,8448376,sky blue,AUSTRIA,5.0,3.0,13930,3
50,maserati,grecale folgore,2025,nickelmetal hydride,138.1,523,chademo,1.3,4991073,magenta,IRELAND,4.0,4.0,9964,5
51,xpeng,g9,2023,leadacid,84.2,141,level 2 charging,10.7,11814407,gun metal,SPAIN,3.5,5.0,19238,3
52,citroen,ami,2019,zincair,25.2,487,nacs,5.9,10818114,bronze,NORWAY,3.0,3.0,15401,4
53,li auto,l9,2020,flow batteries,33.6,182,mobile charging,5.2,8945628,lime green,THAILAND,4.0,4.0,8270,4
54,jaguar,ipace,2023,calciumion,148.5,436,vehicletohome v2h,5.3,525099,turquoise,FINLAND,5.0,4.0,8750,5
55,volkswagen,id5,2022,aluminumion,110.8,162,level 1 charging,11.7,1030646,forest green,NETHERLANDS,0.0,4.0,3717,4
56,jaguar,ipace,2022,aluminumion,113.2,360,battery swapping,5.3,8789995,aurora blue,BELGIUM,1.0,5.0,4473,3
57,toyota,lexus rz,2020,aluminumion,122.4,236,level 1 charging,3.8,658267,matte blue,ISRAEL,3.0,4.0,11309,4
58,lamborghini,lanzador upcoming ev,2022,aluminumion,61.8,196,ultrafast charging 350 kw,7.1,5802749,navy blue,INDONESIA,3.0,4.0,12651,5
59,vinfast,vf 7,2022,lithiumion,36.4,594,mobile charging,10.5,13490284,candy apple red,FRANCE,3.0,5.0,5058,3
60,great wall motors,ora lightning cat,2020,zincair,110.1,432,dc fast charging dcfc,10.3,13228096,rose gold,SAUDI ARABIA,2.0,4.0,17728,3
61,gmc,hummer ev pickup,2018,flow batteries,109.0,247,ultrafast charging 350 kw,9.1,8207658,yellow,FRANCE,5.0,4.0,10629,3
62,mazda,mazda ev upcoming models,2020,nickelcobaltaluminum,38.9,371,vehicletogrid v2g,7.0,12510234,pearl white,NORWAY,4.0,3.0,16307,5
63,ford,f150 lightning,2022,flow batteries,53.0,230,level 1 charging,10.8,8583039,copper,SAUDI ARABIA,3.0,4.0,13903,5
64,honda,honda prologue,2019,lithiumiron phosphate,149.9,536,vehicletoload v2l,1.7,7576372,teal,SINGAPORE,5.0,5.0,12969,4
65,tesla,cybertruck,2025,magnesiumion,116.8,125,vehicletoload v2l,10.1,13835219,navy blue,AUSTRIA,2.0,4.0,4481,5
66,kia,soul ev,2019,magnesiumion,77.3,396,overhead pantograph charging,8.9,4081601,copper,HUNGARY,1.0,4.0,17394,5
67,toyota,bz4x,2019,aluminumion,127.2,346,solar charging,9.1,7064583,orange,AUSTRALIA,1.0,5.0,13022,5
68,byd,han ev,2021,lithiumion,54.4,163,vehicletohome v2h,4.7,11988139,gold,ISRAEL,5.0,3.0,15449,3
69,gmc,hummer ev suv,2024,lithiumiron phosphate,104.2,425,vehicletohome v2h,11.0,6626282,tan,CANADA,4.5,4.0,3805,3
70,polestar,polestar 3,2021,nickelmanganesecobalt,68.2,586,vehicletogrid v2g,7.3,1171919,tan,FRANCE,4.0,3.0,12141,3
71,geely,geometry c,2018,calciumion,67.1,451,overhead pantograph charging,6.8,1473411,teal,SOUTH KOREA,1.0,4.0,3003,5
72,rivian,edv electric delivery van,2025,zincair,146.2,125,mobile charging,3.3,4511087,matte green,SWITZERLAND,0.6666666666666667,3.0,7634,4
73,opel,corsae,2024,lithiumion,56.0,174,chademo,6.7,12582166,orange,GERMANY,0.33333333333333337,5.0,10609,3
74,porsche,panamera ev,2015,nickelmetal hydride,116.4,369,ccs,9.1,8714952,navy blue,ARGENTINA,0.0,5.0,1420,5
75,vinfast,vfe34 discontinued,2019,nickelmanganesecobalt,103.6,115,level 2 charging,12.0,13167583,brown,FRANCE,3.0,4.0,19932,3
76,audi,etron gt,2019,zincair,102.3,380,mobile charging,4.9,10168702,copper,AUSTRALIA,3.0,5.0,18066,5
77,rivian,r1s,2022,aluminumion,49.7,273,vehicletohome v2h,5.1,1175535,purple,VIETNAM,2.0,4.0,2199,3
78,hyundai,kona electric,2021,solidstate,116.8,290,chademo,6.9,10037581,matte gray,UNITED ARAB EMIRATES,0.0,4.0,1685,4
79,cadillac,celestiq,2020,solidstate,95.1,208,chademo,8.1,5690938,yellow,BRAZIL,2.0,3.0,14061,5
80,opel,grandland electric,2024,flow batteries,103.6,113,battery swapping,0.8,6279245,stealth gray,POLAND,2.0,5.0,13132,3
81,ford,mustang mache,2016,lithiumtitanate,89.0,292,vehicletogrid v2g,5.7,4888911,magenta,HUNGARY,4.0,3.0,5158,5
82,bmw,ix3,2016,lithiumsulfur,77.6,317,vehicletoload v2l,7.5,7970205,electric blue,TURKEY,3.0,5.0,19435,4
83,lotus,evija,2019,lithiumion,48.7,406,level 2 charging,0.6,6617032,electric blue,ITALY,2.0,4.0,14111,3
84,volkswagen,id6,2023,lithiumtitanate,49.9,386,overhead pantograph charging,1.3,13341172,silver,VIETNAM,2.0,5.0,14066,5
85,xpeng,p5,2019,solidstate,72.7,594,mobile charging,2.5,14371372,sunset orange,ARGENTINA,2.0,5.0,13121,5
86,hyundai,ioniq 7 upcoming,2019,lithiumtitanate,64.1,270,nacs,1.4,10598696,matte black,TURKEY,2.0,5.0,4839,3
87,kia,niro ev,2019,lithiumiron phosphate,42.6,178,dc fast charging dcfc,2.5,12274177,champagne,AUSTRALIA,4.0,5.0,10590,5
88,rimac,nevera,2022,solidstate,81.0,423,solar charging,9.7,10097037,teal,TURKEY,3.5,4.0,12082,4
89,audi,etron,2024,zincair,85.9,336,level 2 charging,5.7,12717791,ruby red,DENMARK,3.0,4.0,3391,4
90,dacia,jogger hybrid,2023,flow batteries,42.4,226,vehicletohome v2h,11.9,9288823,sapphire blue,NETHERLANDS,2.0,5.0,19591,3
91,vinfast,vf 8,2016,sodiumion,32.3,447,plugin hydrogen refueling,3.8,11684804,lime green,IRELAND,2.0,4.0,10165,5
92,seat,avenger,2017,zincair,112.1,143,solar charging,6.9,10721919,pink,ITALY,5.0,3.0,13874,5
93,byd,han ev,2020,lithiumsulfur,43.4,209,mobile charging,11.4,8835251,crimson red,ITALY,2.0,5.0,17253,3
94,mini,mini cooper se,2024,nickelmetal hydride,97.6,178,nacs,2.6,11314148,sapphire blue,NETHERLANDS,0.0,3.0,14555,5
95,mazda,mazda ev upcoming models,2018,leadacid,51.1,594,vehicletoload v2l,10.9,5328194,sky blue,SINGAPORE,3.0,5.0,17283,4
96,mercedesbenz,eqb,2024,nickelmetal hydride,133.5,126,vehicletoload v2l,10.6,9654489,yellow,SOUTH AFRICA,2.0,4.0,16821,3
97,zeekr,zeekr 001,2018,calciumion,78.6,278,level 1 charging,5.3,7757448,turquoise,BELGIUM,0.0,4.0,3246,5
98,genesis,gv80 electric,2017,nickelmetal hydride,25.0,569,vehicletoload v2l,8.5,4665512,cosmic purple,NEW ZEALAND,0.0,4.0,7066,3
99,lamborghini,lanzador upcoming ev,2016,magnesiumion,57.5,254,ccs,1.0,8037907,burgundy,FINLAND,0.0,5.0,538,5
100,mg,mg4 electric,2017,lithiumsulfur,75.8,414,overhead pantograph charging,3.3,7998811,lime green,UK,2.0,5.0,16633,5
101,nissan,ariya,2022,lithiumion,102.6,291,battery swapping,9.1,7285127,red,BRAZIL,5.0,5.0,10895,3
102,chevrolet,volt phev,2023,sodiumion,125.8,189,vehicletohome v2h,11.8,8742374,midnight black,ITALY,3.0,4.0,6605,3
103,vinfast,vf 7,2015,sodiumion,141.3,363,plugin hydrogen refueling,11.9,9516368,gold,JAPAN,1.0,3.0,10876,4
104,jaguar,ipace,2021,aluminumion,72.0,325,plugin hydrogen refueling,4.4,5241807,ice silver,RUSSIA,4.0,4.0,13910,3
105,zeekr,zeekr x,2023,lithiumsulfur,61.8,140,mobile charging,8.1,667795,gun metal,VIETNAM,3.0,4.0,11552,5
106,zeekr,zeekr 009,2025,magnesiumion,143.2,138,plugin hydrogen refueling,4.7,12613152,sky blue,NETHERLANDS,1.0,4.0,1140,3
107,audi,etron gt,2025,sodiumion,67.1,586,level 2 charging,7.5,11148745,turquoise,ARGENTINA,0.0,4.0,10301,5
108,toyota,bz4x,2016,lithiumion,115.6,355,plugin hydrogen refueling,11.0,4413132,navy blue,SPAIN,1.0,4.0,6559,3
109,volkswagen,id2all,2016,nickelmanganesecobalt,42.4,465,vehicletohome v2h,12.0,12726159,rose gold,HUNGARY,5.0,4.0,5161,5
110,dacia,jogger hybrid,2020,leadacid,49.2,202,chademo,3.2,8928263,turquoise,UNITED ARAB EMIRATES,3.0,5.0,2825,3
111,subaru,solterra,2022,leadacid,73.4,309,dc fast charging dcfc,1.9,6804332,red,MALAYSIA,4.0,5.0,19260,3
112,opel,corsae,2021,leadacid,138.4,128,ccs,6.5,6649495,pearl white,HUNGARY,1.0,4.0,2584,4
113,lucid motors,lucid dreamdrive,2023,lithiumsulfur,36.3,255,dc fast charging dcfc,6.3,5023631,matte blue,SWEDEN,4.0,5.0,1349,3
114,hyundai,kona electric,2025,magnesiumion,95.0,433,inductive wireless charging,9.3,7999041,emerald green,GERMANY,5.0,4.0,15825,3
115,faraday future,ff 91,2019,nickelmanganesecobalt,29.5,130,nacs,5.6,8811014,electric blue,MEXICO,2.0,4.0,13065,3
116,citroen,ëspacetourer,2023,leadacid,33.8,223,vehicletohome v2h,1.9,8395152,charcoal,FRANCE,1.0,4.0,8135,3
117,canoo,pickup,2024,lithiumtitanate,60.7,490,nacs,6.2,9176698,champagne,POLAND,0.0,3.0,7049,5
118,fisker,ocean,2015,lithiumsulfur,84.3,551,vehicletoload v2l,3.8,3098129,yellow,VIETNAM,2.0,4.0,11991,3
119,xpeng,p7,2024,leadacid,45.3,383,solar charging,1.3,9051066,stealth gray,UNITED ARAB EMIRATES,4.0,3.0,12907,4
120,vinfast,vf 8,2023,sodiumion,118.1,201,plugin hydrogen refueling,6.3,354364,gray,MEXICO,4.0,5.0,4580,4
121,gmc,hummer ev suv,2017,nickelcobaltaluminum,148.8,478,solar charging,7.3,908778,graphite gray,SAUDI ARABIA,4.0,4.0,10854,5
122,jaguar,ipace,2024,lithiumsulfur,123.6,471,level 1 charging,7.4,6186365,ruby red,ISRAEL,5.0,5.0,12458,3
123,canoo,mpdv,2018,lithiumion,94.4,458,ccs,2.7,8292463,tan,SWEDEN,1.0,4.0,2040,5
124,volkswagen,id7,2018,leadacid,62.3,439,vehicletoload v2l,6.5,6765031,midnight black,AUSTRALIA,2.0,5.0,8662,5
125,great wall motors,ora good cat,2018,lithiumsulfur,92.6,215,solar charging,9.4,11458811,ice silver,RUSSIA,2.0,5.0,8960,4
126,jaguar,ipace,2021,calciumion,64.9,495,chademo,3.8,6451564,cosmic purple,UK,3.0,3.0,6621,5
127,toyota,lexus ux 300e,2019,nickelmetal hydride,34.2,479,ultrafast charging 350 kw,3.3,11038008,matte black,AUSTRIA,0.0,4.0,3294,5
128,opel,corsae,2015,leadacid,147.1,180,vehicletogrid v2g,8.0,13567769,aurora blue,NEW ZEALAND,2.0,3.0,18813,3
129,maserati,grecale folgore,2017,nickelcobaltaluminum,134.7,190,level 2 charging,12.0,7763935,champagne,NORWAY,2.0,4.0,18610,5
130,kia,ev6,2019,nickelmanganesecobalt,148.6,378,vehicletoload v2l,10.7,4610399,graphite gray,AUSTRALIA,0.0,5.0,8430,5
131,porsche,taycan,2020,magnesiumion,58.4,445,inductive wireless charging,2.5,13273758,cream,VIETNAM,0.0,4.0,4607,4
132,rimac,nevera,2015,lithiumsulfur,69.9,328,battery swapping,11.5,662335,volcanic yellow,SINGAPORE,0.5,3.0,3873,4
133,subaru,solterra,2021,flow batteries,85.3,558,solar charging,8.4,10664536,copper,ARGENTINA,1.0,4.0,19848,4
134,li auto,mega,2023,magnesiumion,106.3,211,ultrafast charging 350 kw,8.3,10149774,burgundy,UK,4.0,4.0,18486,3
135,bmw,ix1,2023,lithiumiron phosphate,94.5,176,nacs,4.3,9244098,orange,SWITZERLAND,3.0,3.0,14858,3
136,mg,mg es5,2022,zincair,27.5,336,solar charging,8.8,7751385,platinum,USA,4.0,5.0,2089,5
