article_index,title,url,avg_label,avg_score,num_sentences,sentence,sent_label,sent_score,sent_value
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"News News Wales Wales Politics Man, 18, arrested on suspicion of murder after 17-year-old girl dies A man has been arrested and is in custody following the incident, police said.",NEGATIVE,0.8733235597610474,-0.8733235597610474
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"7 hrs ago Wales Police officers lied about dead woman, misconduct hearing finds Two officers lied about a dead woman and ordered CPR, despite her being dead for at least two weeks.",NEGATIVE,0.9724774360656738,-0.9724774360656738
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"4 hrs ago Wales Charlotte Church and Gavin Henson's son makes acting debut Dexter Henson stars in the short film Waiting for Burton, set in Wales in the 1970s.",POSITIVE,0.9869897961616516,0.9869897961616516
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"1 day ago Wales Wales hosting Euro 2028 - all you need to know Noel Mooney says kicking-off Euro 2028 on home soil will be ""spectacular for the nation"" but how will it all work?",POSITIVE,0.9813692569732666,0.9813692569732666
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,We answer your questions.,POSITIVE,0.9979629516601562,0.9979629516601562
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"11 hrs ago Wales Men Storm Claudia brings amber warning for rain For Friday, an amber weather warning is in place until 23:59 GMT with south and mid Wales expected to bear the brunt of the wet weather.",NEGATIVE,0.5084325075149536,-0.5084325075149536
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"6 hrs ago Wales UK's first small nuclear power station to be built in north Wales Three small modular reactors are confirmed for the site, with the potential for up to eight.",POSITIVE,0.971581757068634,0.971581757068634
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,7 hrs ago Wales Injured motorcyclists rescued after bike sent SOS alert The pair were left lying helpless on the road with serious pelvic and leg injuries after the crash.,NEGATIVE,0.996049702167511,-0.996049702167511
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"16 hrs ago Wales  Devolve policing when crime commissioners go, says Plaid Plaid says policing and justice powers must move to Cardiff when elected commissioners are scrapped.",NEGATIVE,0.9972521662712097,-0.9972521662712097
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"'My son, 4, has childhood dementia - I'm heartbroken' Tammy McDaid is raising funds to help her make memories with her son Tate.",POSITIVE,0.8043779730796814,0.8043779730796814
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"Birds must be kept indoors over avian flu fears Bird flu spreads among birds and, in rare cases, can affect humans.",NEGATIVE,0.9887661337852478,-0.9887661337852478
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,City's overnight visitors could face £1.30 per night tax Cardiff council wants to bring in a levy that it hopes would raise £3.5m a year.,NEGATIVE,0.9962021708488464,-0.9962021708488464
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"Reform politician faces suspension over WhatsApp racial slur Laura Anne Jones used a racial slur to describe Chinese people, in August 2023, in a WhatsApp chat.",NEGATIVE,0.9947825074195862,-0.9947825074195862
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,Features & analysis Northern Lights leave sky-gazers in awe A powerful solar storm allowed the Aurora Boraelis to be visible across north Wales.,POSITIVE,0.9995513558387756,0.9995513558387756
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,Charli XCX 'cried' during collaboration with music legend for Wuthering Heights soundtrack The singer was tearful over teaming up with the former Velvet Underground member.,NEGATIVE,0.8228082060813904,-0.8228082060813904
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,'I was spat at in the '70s because of my colour - those days are back' A man who was spat at because of his colour when he was young is worried about the political climate.,NEGATIVE,0.9940438866615295,-0.9940438866615295
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,How a wet Welsh summer helped create Winnie-the-Pooh The famous bear first featured among a collection of poems compiled in a potting shed in rainy Wales.,POSITIVE,0.9933931231498718,0.9933931231498718
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"When my wife died, Elis James reached out - now we're close mates The comedian contacted Geraint John after his wife Deb died and has helped him while he grieves.",POSITIVE,0.9956594109535217,0.9956594109535217
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,Watch/Listen Kebab shop families involved in 'disgraceful' street fight The court was shown CCTV footage of the brawl which left them with gash and slash wounds.,NEGATIVE,0.9973861575126648,-0.9973861575126648
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"2 days ago Wales Wales falls silent for Armistice Day Services were held across Wales, as people gathered to mark 107 years since the end of World War One.",POSITIVE,0.9897221922874451,0.9897221922874451
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,2 days ago Wales Lorry driver who blamed fatal crash on cough exposed by dashcam Mariusz Korkosz was driving incorrectly for almost 20 seconds before colliding head-on with a truck.,NEGATIVE,0.9975467324256897,-0.9975467324256897
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,5 Nov 2025 Wales Reform UK says BBC 'infected with left-wing bias' Leader Nigel Farage cites Rhuanedd Richards' role as BBC director of nations as 'living proof' of bias.,NEGATIVE,0.9959112405776978,-0.9959112405776978
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"2 days ago Wales Archive: Richard Burton speaks of his home village Burton, who would have turned 100 this year, starred in Cleopatra and Shakespearean stage roles.",POSITIVE,0.9958947896957397,0.9958947896957397
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,3 days ago Wales Sport How Wales aim to cope without 'irreplaceable' Morgan Wales will adopt a different approach in their autumn Test against Japan at Principality Stadium after the loss of 'irreplaceable' Jac Morgan.,POSITIVE,0.981524646282196,0.981524646282196
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"Swans set for talks with Hellberg over manager role Swansea City are to hold talks with Kim Hellberg, manager at Swedish club Hammarby, to replace Alan Sheehan.",POSITIVE,0.9900442361831665,0.9900442361831665
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,Rees-Zammit and Cracknell start for Wales v Japan Wales make four changes to their XV to face Japan with Louis Rees-Zammit making his first international start since 2023.,POSITIVE,0.9981516003608704,0.9981516003608704
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,What's up with Wales and Spurs 'mystery' Johnson?,POSITIVE,0.8864284753799438,0.8864284753799438
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"Brennan Johnson should be a key player for Wales but, as well as being in and out of Spurs' team, he finds himself out of favour for his country.",NEGATIVE,0.5344225764274597,-0.5344225764274597
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,Scrum V Live to show festive Welsh derbies in URC Welsh rugby fans will be able to watch three Welsh derbies in the United Rugby Championship over the Christmas and New Year period on the BBC.,POSITIVE,0.9975965619087219,0.9975965619087219
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,"Stories from Cymru Fyw Arestio dyn 18 oed ar amheuaeth o lofruddio merch, 17 Mae dyn ifanc 18 oed wedi cael ei arestio ar amheuaeth o lofruddiaeth yn dilyn marwolaeth merch 17 oed yn Sir Caerffili.",NEGATIVE,0.8380312323570251,-0.8380312323570251
10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.0007955903230711471,43,Cadarnhad y bydd pwerdy niwclear newydd yn cael ei adeiladu ym Môn Mae Llywodraeth y DU wedi cadarnhau y bydd pwerdy niwclear o fath newydd yn cael ei adeiladu ar Ynys Môn.,NEGATIVE,0.93452388048172,-0.93452388048172
