Vehicle_ID,Manufacturer,Model,Year,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Autonomous_Level,CO2_Emissions_g_per_km,Safety_Rating,Units_Sold_2024,Warranty_Years
1,Acura,ZDX (with GM Ultium),2015,Lithium-titanate,55.8,214,CHAdeMO,9.0,111203.94,Matte White,UK,0.0,,5.0,19726,3
2,Lamborghini,Revuelto (PHEV),2025,Lithium-titanate,90.8,212,Vehicle-to-Home (V2H),7.3,127131.65,White,Netherlands,2.0,0.0,4.0,3349,3
3,NIO,ET7,2020,Calcium-ion,64.7,235,Level 2 Charging,8.9,94347.37,Beige,UK,5.0,0.0,5.0,6300,5
4,Audi,e-tron,2025,Lithium-iron phosphate,120.5,140,Ultra-Fast Charging (350 kW+),10.5,75615.15,Sunset Orange,Argentina,2.0,0.0,5.0,2339,5
5,Acura,ZDX (with GM Ultium),2023,Lithium-titanate,51.8,336,Plug-in Hydrogen Refueling,3.6,141046.94,Ice Silver,United Arab Emirates,2.0,0.0,3.0,1051,4
6,XPeng,G9,2016,Lithium-iron phosphate,138.7,390,Mobile Charging,2.9,89907.75,Ruby Red,Australia,,,5.0,8609,5
7,Jeep,Recon (upcoming),2024,Nickel-cobalt-aluminum,67.1,170,Vehicle-to-Load (V2L),1.5,35653.97,Orange,Sweden,5.0,0.0,,12504,5
8,Changan,Q05,2019,Lead-acid,131.9,105,CCS,8.3,94436.44,Bronze,Mexico,,0.0,5.0,8630,5
9,Citroen,ë-C4,2023,Aluminum-ion,33.8,420,Solar Charging,10.2,90919.55,Metallic Silver,Sweden,1.0,0.0,5.0,18,5
10,Rimac,Nevera,2015,Solid-state,140.8,549,Solar Charging,3.3,58904.59,Matte Green,UK,,0.0,,17455,3
11,Volkswagen,ID.Buzz,2022,Lead-acid,41.5,370,Vehicle-to-Grid (V2G),11.6,141469.62,Stealth Gray,Denmark,3.0,0.0,4.0,16959,4
12,Jaguar,I-PACE,2018,Solid-state,64.0,401,Ultra-Fast Charging (350 kW+),7.3,30862.9,Cosmic Purple,South Korea,0.0,0.0,,7798,4
13,Mini,Mini Cooper SE,2018,Lead-acid,37.2,578,Vehicle-to-Load (V2L),3.3,86756.75,Tan,Denmark,,0.0,4.0,15303,5
14,BMW,iX3,2025,Flow batteries,32.8,306,Mobile Charging,9.7,43112.28,Metallic Silver,Denmark,1.0,0.0,3.0,2470,4
15,Faraday Future,FF 91,2015,Flow batteries,149.9,528,Level 1 Charging,11.6,141164.04,Rose Gold,Belgium,3.0,0.0,3.0,5394,4
16,Tesla,Model Y,2019,Aluminum-ion,121.9,332,Solar Charging,5.4,144878.12,Burgundy,United Arab Emirates,3.0,,3.0,18978,5
